Company,Former / alternate names,Brief Description,Website,B2B/B2C,Company focus,Protein category,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,HQ Country,HQ State (U.S. only),HQ State/Province (Non-U.S.),HQ City,Founders,Parent company,Company email,Link to parent company's record,Link to subsidiary/brand
Innocent Meat,,"Germany-based company providing meat processors with an automated end-to-end clean meat production system, allowing producers of conventional meat to update supply chain and produce cultivated meat.",http://www.innocent-meat.com/,B2B,"Meat,Ingredients and inputs","Cultivated,Precision fermentation","Bioprocess design,Target molecule selection,Crop development,Ingredient optimization",Ingredients,,,Europe,Germany,,,Rostock,Laura Gertenbach and Philipp Wolters,,hello@innocent-meat.com,,
Innomy ,,Spanish company using fungi to create sustainable protein sources.,http://innomylabs.com/#!/-inicio/,B2B,"Meat,Ingredients and inputs",Biomass fermentation,"Bioprocess design,Ingredient optimization",Ingredients,"Beef/veal,Chicken,Pork","Mycelium,Mycoprotein,Fungi","Latin America,Europe",Spain,,,Derio,"Juan Pablo De Giacomi, Francisco Kuhar, and Pablo Ignacio Sánchez Rey",,,,
Ironic Biotech,,"Swedish biotech startup making non-animal heme iron through precision fermentation, either for supplements or to be used as a food ingredient.",https://www.ironicbiotech.com/,B2B,Ingredients and inputs,Precision fermentation,"Ingredient optimization,Bioprocess design",Other,,,Europe,Sweden,,,Furulund,Nélida Leiva Eriksson,,info@ironicbiotech.com,,
Jooules ,,New Zealand-based company turning clean energy and air into protein.,www.jooules.com,B2B,Ingredients and inputs,Biomass fermentation,"Bioprocess design,End product formulation and manufacturing,Target molecule selection,Ingredient optimization","Oils and fats,Ingredients",,,Asia Pacific,New Zealand,,,WELLINGTON,David McLellan,,,,
Kinoko-Tech,,Kinoko-Tech is providing new fermentation products based on fungal mycelium that grows on legumes and grains.,https://kinoko-tech.com,"B2C,B2B",Meat,Biomass fermentation,Ingredient optimization,"Other,Ingredients","Beef/veal,Chicken",Mushrooms,Africa/Middle East,Israel,,,Rehovot,"Jasmin Ravid, Daria Feldman, Hadar Shohat ",,,,
Koralo,,EU-based company that produces an all natural fish alternative.,http://koralo-foods.com,B2C,Seafood,Biomass fermentation,End product formulation and manufacturing,Whole muscle meat/seafood,,"Microalgae,Fungi,Omega-3 ,Mycelium","Europe,Asia Pacific",Germany,,,Munich,"Sina Albanese, Harshitha Badrinath, Karen Silva, Marisa Albanese, and Guido Albanese",,info@koralo-foods.com,,
Kynda Biotech,,Kynda turns agricultural by-products into mycoprotein for the food and pet-food industry.,https://kyndatech.com/,B2B,"Ingredients and inputs,Pet food",Biomass fermentation,"Bioprocess design,Ingredient optimization",Ingredients,,"Mycelium,Mycoprotein",Europe,Germany,,,Hamburg,Daniel MacGowan and Franziskus Schnabel,,daniel.macgowan@kyndatech.com,,
Liberation Labs,,US-based company creating precision fermentation facilities to  help companies improve scale and cost. ,https://liberationlabsltd.com/,B2B,"Bioprocessing infrastructure and equipment,Contract manufacturing/processing",Precision fermentation,Bioprocess design,,,,United States and Canada,United States,New York ,,New York,"Etan Bendheim,  Mark Warner",,,,
Libre Foods,,"Spain-based company developing a platform of functional, fungi-based ingredients for the food industry.",https://www.librefoods.co/,B2B,"Meat,Ingredients and inputs",Biomass fermentation,"Bioprocess design,Ingredient optimization",Ingredients,,"Fungi,Mycelium",Europe,Spain,,,Barcelona,Alan Ramos,,hello@librefoods.co,,
Liven Proteins Corp.,,"Canada-based precision fermentation company offering novel functional protein ingredients that can be used by the plant-based food industry to enhance the sensory qualities of food formulations. They make animal-free protein ingredients with identical textures and functional properties as animal proteins. Liven’s protein ingredients are produced by fermenting agri-food co-products, creating a circular economy.",https://livenproteins.ca,"B2C,B2B",Ingredients and inputs,Precision fermentation,Ingredient optimization,Ingredients,,,United States and Canada,Canada,,,Toronto,"Fei Luo, Pratish Gawand",,,,
Maash,,Eco-responsible food and feed protein ingredient producer using a fermentation technology.,https://maashcompany1.odoo.com/home,B2B,"Meat,Ingredients and inputs",Biomass fermentation,"Bioprocess design,Ingredient optimization",Ingredients,,"Fungi,Mycoprotein",Europe,Belgium,,,Anderlecht,Gaspard Gilbert,,info@maashcompany.com,,
Maia Farms,,We produce mushroom and mycelium protein products using biomass fermentation and agro-industrial byproducts.,www.maiafarms.ca,B2B,"Ingredients and inputs,Bioprocessing infrastructure and equipment","Biomass fermentation,Fermentation-derived,Blended","End product formulation and manufacturing,Ingredient optimization,Host strain development,Feedstocks,Bioprocess design,Cell culture media","Ground meat/seafood,Other meat/seafood,Other,Ingredients",,Fungi,United States and Canada,Canada,,,Vancouver,,,,,
Marlow Ingredients ,,UK-based cultivated mycoprotein producer.,https://www.marlowingredients.com/,B2B,"Meat,Dairy,Ingredients and inputs","Cultivated,Biomass fermentation","Bioprocess design,Ingredient optimization",Ingredients,,Mycoprotein,Europe,United Kingdom,,,,,Monde Nissin ,,Monde Nissin,Quorn
Mati Foods,,Estonia-based company producing meat products made from mycelium. ,https://www.matifoods.eu/,B2C,Meat,Biomass fermentation,End product formulation and manufacturing,Whole muscle meat/seafood,Chicken,"Mycoprotein,Potato",Europe,Estonia,,,Tallinn,Andrean Razumovski and Triin Remmelgas,,info@matifoods.eu,,
Matr Foods,,"Danish company using fungi fermentation on a mix of Nordic organic vegetables, legumes and grains to create a new healthy plant ingredient.",https://matrfoods.com/,B2C,Meat,"Plant-based,Biomass fermentation",End product formulation and manufacturing,Ground meat/seafood,,"Oat,Pea,Potato,Lupine,Beetroot ,Fungi",Europe,Denmark,,,Copenhagen,Randi Wahlsten,,,,
MayaMilk,,Turkey-based company that uses precision fermentation to produce animal-free dairy proteins and fats with the same sensory experience that animal-based dairy provides,https://www.mayamilk.com,B2C,Dairy,Precision fermentation,End product formulation and manufacturing,Milk,,,"Africa/Middle East,United States and Canada",Turkey,,,Izmir,Murat Badur,,,,
Meati,,Whole muscle meats made from fungi. Utilizes spent grains from brewing. ,https://meati.com/,B2C,Meat,Biomass fermentation,"End product formulation and manufacturing,Feedstocks",Whole muscle meat/seafood,"Beef/veal,Chicken",Mushrooms,United States and Canada,United States,Colorado,,Boulder,"Justin Whiteley, Tyler Huggins",,,,
Melt&Marble,,Swedish company that produces animal fats using precision fermentation ,https://www.meltandmarble.com,B2B,Ingredients and inputs,Precision fermentation,Ingredient optimization,Oils and fats,,Yeast,Europe,Sweden,,,Göteborg,"Anastasia Krivoruchko, Florian David, Jans Nielsen",,,,
MicroHarvest,,Germany-based startup that produces bacterial single cell protein applicable throughout the whole value chain.,https://microharvest.com,B2B,Ingredients and inputs,Precision fermentation,"Bioprocess design,Feedstocks,End product formulation and manufacturing,Host strain development",,,,Europe,Germany,,,Hamburg,"Katelijne Bekers, Luisa Cruz, Jonathan Roberz",,,,
Millow,,Sweden-based company that produces Mycelium-based food,https://millow.co/,"B2C,B2B","Ingredients and inputs,Meat",Biomass fermentation,"Bioprocess design,Ingredient optimization","Other meat/seafood,Ground meat/seafood,Ingredients,Oils and fats",Beef/veal,Mycelium,Europe,Sweden,,,Gothenburg,Esmaeil Taherzadeh,,hello@millow.co,,
MNDL Bio,,MNDL Bio is a synthetic biology startup with the mission to reduce cost and production time of food and biotech applications through advanced computational platforms that optimize gene expression.,https://mndl.bio/,,Bioprocessing infrastructure and equipment,"Precision fermentation,Plant molecular farming","Host strain development,Cell line development,Ingredient optimization",,,,"Europe,Africa/Middle East",Israel,,,Herzeliya,"Steve Grun, Prof. Tamir Tuller, and Eran Miller",,info@mndl.bio,,
MOA Foodtech,,"Spanish company that produces a high-value protein by transforming food waste and by-products, through a fermentation process optimized by AI",https://www.moafoodtech.com/,"B2C,B2B",Ingredients and inputs,Biomass fermentation,"Bioprocess design,Ingredient optimization",,,Yeast,Europe,Spain,,,Madrid,"Bosco Emparanza, Susana Sánchez, José María Elorza",MOA,info@moafoodtech.com,,
MOONLAB Foods,,Taiwan-based producer of artisan plant-based cheese and other dairy and baked products. ,https://moonlabfoods.com/zh-hant/,B2C,Dairy,"Plant-based,Traditional fermentation",End product formulation and manufacturing,"Cheese,Other dairy",,"Cashew,Soy,Yeast,Rice,Coconut",Asia Pacific,Taiwan,,,Taipei,Stephanie Lin,,,,
More Foods,,Producing beef via a high protein yeast blend. ,https://www.more-foods.co/,B2C,Meat,Biomass fermentation,End product formulation and manufacturing,Whole muscle meat/seafood,Beef/veal,,Africa/Middle East,Israel,,,Tel Aviv-Yafo,Leonardo Marcovitz,,hello@more-foods.co,,
More Meat,,"Guangzhou-based mycoprotein producer. 
",https://www.moremeat.com/About,B2C,"Meat,Ingredients and inputs",Biomass fermentation,"Host strain development,Ingredient optimization,End product formulation and manufacturing",,,Mycoprotein,Asia Pacific,Mainland China,,,Guangzhou,,,,,
Moreshrooms ,,Company making mycoprotein from Norwegian seaweed.,https://more-shrooms.com/,B2B,Ingredients and inputs,Biomass fermentation,"Bioprocess design,Ingredient optimization",Ingredients,,"Mycoprotein,Algae,Seaweed",Europe,Norway,,,Oslo,"Defne Bilgin, Rebeka Benedetic, and Mehidi Rashid",,info@more-shrooms.com,,
MUSH Foods ,,"MUSH grow edible mushrooms mycelium to create innovative raw ingredients with high nutritional values, for the food industry",https://www.linkedin.com/company/mushfoods/about/,B2B,Ingredients and inputs,Biomass fermentation,End product formulation and manufacturing,,,Mycelium,Africa/Middle East,Israel,,,Tel Aviv-Yafo,Shalom Daniel,The Kitchen FoodTech Hub of Strauss Group Ltd.,,,
Muu,,,https://www.drinkmuu.com/,B2C,Dairy,Precision fermentation,End product formulation and manufacturing,Milk,,,Asia Pacific,Thailand,,,,,,,,
Myco Foods,,UK-based innovation company producing plant-based meats with only 5 ingredients.,https://www.mycofoods.co.uk/,B2C,"Meat,Bioprocessing infrastructure and equipment","Plant-based,Biomass fermentation","End product formulation and manufacturing,Crop development,Scaffolding and structure","Whole muscle meat/seafood,Ground meat/seafood,Other meat/seafood","Beef/veal,Chicken,Pork,Mutton/lamb",Mushrooms,Europe,United Kingdom,,,Leeming Bar,Jay Croslegh and John Shepherd,Myco Holdings PLC,,,
Mycofeast,,"Mycofeast is an industrial biotechnology company using biomass fermentation to develop proteins, specialty lipids, and ingredients for the food and animal feed sectors, with yeast and algae strains.",https://mycofeast.co.uk/,B2C,Bioprocessing infrastructure and equipment,Biomass fermentation,Bioprocess design,,,,Europe,United Kingdom,,,Oxford,,,hello@mycofeast.co.uk,,
Mycosortia,,Mycosortia specializes in turning food side streams that are unfit for human consumption into edible alternative protein products using our proprietary microbial biotransformation technology.,https://mycosortia.com/,B2B,"Meat,Dairy",Precision fermentation,End product formulation and manufacturing,,,,Asia Pacific,Singapore,,,,,,contact@mycosortia.com,,
MycoSure,,MycoSure is a South African FoodTech focused on the production of mycelium-based protein and nutraceutical ingredients using submerged biomass fermentation. ,www.mycosure.co.za,B2B,Ingredients and inputs,Biomass fermentation,"Bioprocess design,End product formulation and manufacturing,Ingredient optimization,Feedstocks",Ingredients,,Mycoprotein,Africa/Middle East,South Africa,,,Johannesburg,Charles Reed and Greg Brown,,,,
MycoTechnology,,Producer of pea and rice proteins fermented by shiitake mycelium. ,https://www.mycoiq.com/,"B2C,B2B",Ingredients and inputs,"Traditional fermentation,Biomass fermentation","Feedstocks,Target molecule selection",,,,United States and Canada,United States,Colorado,,Aurora,"Alan Hahn, Brooks J. Kelly, James P. Langan, Peter Lubar",,,,
Mycovation,,"Mycovation is an Alternative protein based mycelium platform developing healthy, minimally processed , sustainable and Affordable food products using Fermentation technology.",https://www.mycovation.asia/,B2B,"Meat,Dairy,Ingredients and inputs",Biomass fermentation,"Bioprocess design,End product formulation and manufacturing,Target molecule selection,Feedstocks","Ingredients,Other meat/seafood,Ground meat/seafood",,"Fungi,Mushrooms",Asia Pacific,Singapore,,,Chin Bee Drive,Shiva Susarla ,,,,
Mycsology,,"Sustainable nutrient-dense protein foods powered by plants and fungi. 
",https://mycsology.com/,,Ingredients and inputs,Biomass fermentation,,,,Mycelium,United States and Canada,United States,,,,Yekaterina Tarasova,,,,
MyForest Foods,Atlast,"U.S.-based company producing Mycelium-based whole cut meats, including bacon under the brand ""MyBacon""",https://myforestfoods.com/,B2B,Ingredients and inputs,Biomass fermentation,Ingredient optimization,Whole muscle meat/seafood,"Beef/veal,Pork",Mushrooms,United States and Canada,United States,New York ,,Albany,"Eben Bayer, Steve Lomnes, Russell Hazen, Gavin McIntyre, Andy Bass, and Alex Carlton",MyEats,https://myforestfoods.com/,,
Naplasol,,"Naplasol is a Belgian company that specialises in natural fermented mycoproteins for food applications.
",https://www.naplasol.com/,B2B,Ingredients and inputs,Biomass fermentation,Ingredient optimization,Ingredients,,Mycoprotein,Europe,Belgium,,,Bree,Wim Slee,Veos Group,info@naplasol.com,,Mycorena AB
Naturannova,,Plant-based protein flavors,https://www.naturannova.com/,B2C,Ingredients and inputs,"Plant-based,Precision fermentation","Ingredient optimization,Target molecule selection",,,,Latin America,Chile,,,Santiago,"Antonella De Lazzar, Juan Carlos Duarte Ramírez",,,,
Nature's Fynd,,US-based company that uses fermentation to produce plant-based patties and cream cheese,https://www.naturesfynd.com/,B2C,"Meat,Dairy",Biomass fermentation,"End product formulation and manufacturing,Ingredient optimization","Cheese,Ground meat/seafood",,,United States and Canada,United States,Illinois ,,Chicago,,,,,
New Culture,,Startup using fermentation to produce animal-free casein for cheese and has started with mozzarella,https://www.newculturefood.com/,B2C,Dairy,Precision fermentation,Target molecule selection,Cheese,,,United States and Canada,United States,California,,San Leandro,"Inja Radman, Matt Gibson",,,,
New Roots,,Produces artisan vegan cheese and yogurt in Switzerland. ,https://www.newroots.ch/,B2C,Dairy,"Plant-based,Traditional fermentation",End product formulation and manufacturing,"Cheese,Other dairy",,Cashew,Europe,Switzerland,,,Oberdiessbach,"Freddy Hunziker, Alice Fauconnet",,info@newroots.ch,,
New Wave Biotech,,"AI bioprocess software company helping scale bioprocesses quicker, at lower cost and more sustainably through virtual simulations.",https://www.newwavebiotech.com,B2B,Bioprocessing infrastructure and equipment,Precision fermentation,Bioprocess design,Other,,,Europe,United Kingdom,,,London,Zoe Yu Tung Law and Oli Hall,,hello@newwavebiotech.com,,
NextFerm,,"Startup working on fermented proteins (astaxanthin) for supplements, infant nutrition, and animal feed (part of a larger business)",https://www.nextferm.com/,B2B,Ingredients and inputs,Precision fermentation,Host strain development,,,,Africa/Middle East,Israel,,,Yoqne`am `illit,"Boaz Noy, Tzafra Cohen",,info@nextferm.com,,
NoMoo,,"Brazilian producer of cashew cheese, butter, and mayo.",https://www.nomoo.com.br/,B2C,Dairy,"Plant-based,Traditional fermentation",End product formulation and manufacturing,"Other dairy,Cheese",,Cashew,Latin America,Brazil,,,Rio de Janeiro,Nathalia Pires,,atendimento@nomoo.com.br,,
NoMy,Norwegian Mycelium,Norwegian company producing foods and materials from mycelium (the root-like filaments of fungi).,https://www.nomy.no,B2B,Ingredients and inputs,Biomass fermentation,Ingredient optimization,Ingredients,,Mycelium,Europe,Norway,,,Oslo,Ingrid Dynna and David Andrew Quist,,ingrid@nomy.no,,
NoPalm Ingredients,,Dutch biotechnology company producing yeast-derived oils and fats by fermenting agri-food waste side-streams.,https://www.nopalm-ingredients.com/,B2B,Ingredients and inputs,Biomass fermentation,"Bioprocess design,Ingredient optimization",Oils and fats,Other,Yeast,Europe,Netherlands,,,Wageningen,Lars Langhout and Jeroen Hugenholtz,,,,
Nosh.bio,,A Berlin-based company utilizing biomass fermentation to produce protein and technical functional ingredients.,https://www.nosh.bio/,B2B,Ingredients and inputs,Biomass fermentation,Ingredient optimization,Ingredients,,Fungi,Europe,Germany,,,Berlin,"Tim Fronzek, Dr. Felipe Lino, and Xiangdong Zhao ",,hello@nosh.bio,,
Nourish Ingredients,,Australian start-up producing animal-free fats and oils using precision fermentation.,https://www.nourishing.io/,B2B,Ingredients and inputs,Precision fermentation,"End product formulation and manufacturing,Ingredient optimization",Oils and fats,Other,,Australia/New Zealand,Australia,,,Canberra,"Ben Leita, James Petrie",,info@nourishing.io,,
NovoNutrients,,Bay area company producing food and feed grade protein from upcycled CO2.,www.novonutrients.com,B2B,"Ingredients and inputs,Bioprocessing infrastructure and equipment",Biomass fermentation,"Ingredient optimization,Target molecule selection,Bioprocess design",Ingredients,,CO2,United States and Canada,United States,California,,Sunnyvale,"Brian Sefton, Russell Howard",OakBio, info@novonutrients.com,,
Nurishh,,Produces a range of plant-based cheese products for foodservice and retail.,https://nurishhanimalfree.com/products/,"B2C,B2B",Dairy,Precision fermentation,End product formulation and manufacturing,"Other dairy,Cheese",,"Coconut,Whey,Potato","United States and Canada,Africa/Middle East,Europe",France,,,,,Bel Group ,,Bel Group,
Nutrition from Water,New Fish ,"Biotechnology nutrition company headquartered in New Zealand on a mission to create nutrition without compromise utilizing microalgae technology.
",https://www.nutritionfromwater.com/,B2B,Ingredients and inputs,Biomass fermentation,Ingredient optimization,,,"Algae,Microalgae",Australia/New Zealand,New Zealand,,,Nelson,"Alexander WORKER, Tom DARBY, Hamish HOWARD",WHOLEFISH LIMITED,,,
Nutropy,,France-based company that develops animal-free plug & play milk replacement for large scale dairy applications.,https://nutropy.com/,B2C,"Dairy,Ingredients and inputs",Precision fermentation,Ingredient optimization,"Cheese,Ingredients",,,Europe,France,,,Evry-Courcouronnes,Maya Bendifallah and Nathalie Rolland,,contact@nutropy.com,,
nutrumami,,"Danish startup developing a plant protein powder designed to replace the nutrients found in animal meat products, using a cross-fermentation process.",https://www.nutrumami.com/,,"Ingredients and inputs,Food processing infrastructure and equipment,Bioprocessing infrastructure and equipment","Plant-based,Fermentation-derived",Ingredient optimization,,,,Europe,Denmark,,,,Frederik Jensen,,HELLO@NUTRUMAMI.COM,,
ODS Protein,ODS Protein Sociedad Limitada,"Produces Nawa Protein, a high-quality, sustainable protein source derived from mycoprotein.",https://odsprotein.com/,B2B,Ingredients and inputs,"Plant-based,Biomass fermentation,Precision fermentation","Ingredient optimization,Bioprocess design,Host strain development",Ingredients,,"Mycoprotein,Fungi",Europe,Spain,,,Mos,Iria Varela Campo,,info@odsprotein.com,,
Omaiko,,Microalgae farming at higher yields with lower cost.,https://www.omaiko.eco/,B2B,Ingredients and inputs,Fermentation-derived,"End product formulation and manufacturing,Crop development",,,"Algae,Microalgae",Europe,Israel,,,Kiryat Shmona,"Vinzenz Bayro-Kaiser
Yehuda Folberg
Nadav Kupietzky",,info@omaiko.eco,,
Onego Bio,,Finland-based company developing animal-free egg whites through precision fermentation.,https://www.onego.bio/,B2B,"Eggs,Ingredients and inputs",Precision fermentation,"Host strain development,Ingredient optimization",Ingredients,,,Europe,Finland,,,Helsinki,Maija Itkonen and Christopher Landowski ,,hello@onego.bio,,
Onima ,Yeasty,"Paris-based startup using upcycled brewers yeast to create alternative protein products, nutrition bars, biscuits, and clinical nutrition.",https://www.onima.bio/,B2B,Ingredients and inputs,Biomass fermentation,Ingredient optimization,Ingredients,,Yeast,Europe,France,,Île-de-France ,Évry-Courcouronnes,Juan Londoño Leon and Nikola Stefanovic ,,contact@onima.bio,,
Opera Bioscience,,"Company sourcing recombinant proteins, growth factors, or reagents for precision fermentation. ",https://www.operabioscience.com/,,,Precision fermentation,"Bioprocess design,Ingredient optimization",,,,United States and Canada,United States,Illinois ,,Evanston,Gerry Sapienza,,,,
Optimized Foods,,"Optimized Foods use their proprietary technology platform to convert food and ag byproducts Into high-margin, nutritious, and sustainable food products and ingredients. ",https://www.optimizedfoods.com/,"B2C,B2B",Ingredients and inputs,"Cultivated,Fermentation-derived",Scaffolding and structure,Other,,Mushrooms,United States and Canada,United States,California,,Davis,"Maja Segerman Nielsen, Zane Starkewolfe ",,,,
OsomeFood,,"Singapore-based company that produces fermentation-derived seafood and egg products, including a hardboiled egg under the brand ""OsomeEgg""",https://www.osomefood.com,B2C,"Eggs,Seafood",Biomass fermentation,End product formulation and manufacturing,"Other meat/seafood,Eggs",Other fish,Mycoprotein,Asia Pacific,Singapore,,,Singapore ,Jason Fong,,,,
OTRO,,Belgium-based company that produces egg white protein with precision fermentation.,https://www.otrofoods.com/,B2C,"Eggs,Ingredients and inputs",Precision fermentation,"Bioprocess design,Ingredient optimization,Target molecule selection","Eggs,Ingredients",,Yeast,Europe,Belgium,,,Brussels,Aymen Derwiche,,contact@otrofoods.com,,
Pacifico Biolabs,,Germany biotech startup using biomass fermentation to make mycelium-based whole-cut alternatives ,https://www.pacificobiolabs.com/,B2C,Seafood,Biomass fermentation,,Whole muscle meat/seafood,,Mycelium,Europe,Germany,,,Berlin,"Washington Logroño, Zac Austin",,,,
Paleo,,"Produces myoglobin, a food ingredient that enhances meat and fish alternatives' taste, smell and look.",https://paleo.bio/,B2B,"Meat,Seafood,Ingredients and inputs",Precision fermentation,Ingredient optimization,Ingredients,"Beef/veal,Chicken,Pork,Mutton/lamb,Tuna,Other fish,Other",Yeast,"Europe,Asia Pacific",Belgium,,,Diest,Hermes Sanctorum and Andy de Jong ,,,,
Pan's Mushroom Jerky,,U.S.-based company creating mushroom-based jerky.,https://www.mushroomjerky.com/,B2C,Meat,Biomass fermentation,End product formulation and manufacturing,Other meat/seafood,,Mushrooms,United States and Canada,United States,Washington,,Camas,,,,,
Pawsible Foods,,"At Pawsible Foods, we tackle these issues head-on by harnessing fermentation technology to convert food side streams, including the massive amounts of unwanted potatoes, into sustainable Kavaka™ Mycoprotein for smarter, cleaner, and more sustainable animal nutrition!",https://www.pawsiblefoods.com/,"B2B,B2C","Ingredients and inputs,Pet food",Fermentation-derived,"Ingredient optimization,Bioprocess design",,,"Pea,Mushrooms",Asia Pacific,India ,,Haryana,Gurugram,Armaan Dhanda and Samyak Baid,,samyak.baid@pawsiblefoods.com,,
Perfect Day,,Produces milk proteins using fermentation platform.,http://www.perfectdayfoods.com/,B2B,"Dairy,Ingredients and inputs",Precision fermentation,"End product formulation and manufacturing,Ingredient optimization","Milk,Other dairy,Cheese",,"Whey,Casein",United States and Canada,United States,California,,San Francisco,"Perumal Gandhi, Ryan Pandya",,,,
Phycom,,Dutch producer of microalgae for use in various products including meat alternatives.,https://phycom.eu/,B2B,Ingredients and inputs,Biomass fermentation,"Ingredient optimization,Bioprocess design",Ingredients,,"Microalgae,Algae",Europe,Netherlands,,Gelderland,Veenendaal,Erwin Houtzager,,,,
Phyx44 Labs ,,"Phyx44 is a cellular agriculture startup creating dairy alternatives from microbes using precision fermentation. We're producing nature-identical, animal free dairy proteins & fats to re-create milk and its derivates - same taste, healthier & lower carbon footprint.",https://www.phyx44.com,"B2B,B2C",Dairy,Precision fermentation,"End product formulation and manufacturing,Host strain development,Bioprocess design,Feedstocks,Target molecule selection","Milk,Other dairy,Oils and fats",,,Asia Pacific,India ,,Karnataka,Bangalore,Bharath Bakaraju,,baka@phyx44.com,,
Planetarians,,Developer of ingredient technology system designed to upcycle by-products and solid food waste into high-protein high fiber ingredients.,https://www.planetarians.com/,B2C,Meat,Traditional fermentation,End product formulation and manufacturing,Ground meat/seafood,"Beef/veal,Chicken,Pork","Pea,Soy",United States and Canada,United States,California,,Palo Alto,"Aleh Manchuliantsau, Anastasia Tkacheva",,,,
Planetary ,,"Planetary is building critical infrastructure and IP to power the fermentation-based bioeconomy. Starting with food, we build, own and operate a network of industrial-scale precision fermentation facilities globally for our partners. In addition, we produce mycoprotein as a B2B food ingredient.",https://www.planetarygroup.ch/,B2B,"Bioprocessing infrastructure and equipment,Contract manufacturing/processing,Ingredients and inputs","Precision fermentation,Biomass fermentation","Bioprocess design,Ingredient optimization",,,Mycoprotein,Europe,Switzerland,,,,David Brandes and Ian Marison,,,,
Plonts,,Makes plant-based cheese that stinks.,www.plonts.com,"B2B,B2C",Dairy,"Plant-based,Traditional fermentation",End product formulation and manufacturing,Cheese,,,United States and Canada,United States,California,,Oakland,Nathaniel Chu and Josh Moser,,hello@plonts.com,,
Poseidona,,Develops sustainable proteins from algal waste and invasive biomass for use in alt-seafood products such as tuna steak.,https://poseidona.eu/,B2B,Ingredients and inputs,Biomass fermentation,Ingredient optimization,Ingredients,,Algae,Europe,Spain,,,Barcelona,María Cermeño and Sònia Hurtado,,hola@poseidona.eu,,
Power to Protein,,Power-to-Protein is about closing this artificial nitrogen cycle by direct N upcycling as microbial protein.,https://www.powertoprotein.eu/,B2B,Ingredients and inputs,Biomass fermentation,Ingredient optimization,,,,Europe,Netherlands,,,,,Avecom,,,
Prime Roots,Terramino Foods,Startup working on meat analogs made from mycoprotein,https://primeroots.com/,B2C,"Meat,Seafood",Traditional fermentation,"Target molecule selection,End product formulation and manufacturing","Other dairy,Whole muscle meat/seafood,Ground meat/seafood","Pork,Beef/veal,Chicken,Other shellfish","Rice,Pea",United States and Canada,United States,California,,San Francisco,"Joshua Nixon, Kimberlie Le",,Hello@primeroots.com,,
Progo Foods,,"At Progo Foods, we’re tackling the global issue of inadequate protein consumption. Despite the abundance of protein products, most are targeted at fitness enthusiasts (e.g., powders and bars), leaving the average consumer underserved. Their first launch was under the brand name POISED: ""Poised to Forge,"" an evolved energy drink uniquely positioned in the Indian market as the first to integrate whey protein sustainably obtained via precision fermentation technology. Following this innovation, their second launch, ""Poised to Thrive,"" further solidifies our mission to make high-quality protein accessible. ""Poised to Thrive"" is a high-protein soy yogurt delivering over 20g of protein per serving, catering to consumers looking for a plant-based, nutrient-rich snack that supports muscle recovery, sustained energy, and overall wellness. This product redefines the yogurt category with its rich, creamy texture, bold flavors, and exceptional protein content, offering an indulgent yet health-forward choice for everyday nutrition.",https://www.progofoods.com,"B2B,B2C",Dairy,"Plant-based,Precision fermentation",End product formulation and manufacturing,Other dairy,,,Asia Pacific,India ,,,Coimbatore,Yashvanthraa Mohanraj,,yashu@progofoods.com,,
ProteinDistillery,SACCHA,German-based biotech company that produces customizable vegan protein for use in alternative meat and dairy products using spent brewer's yeast from the brewing industry. ,https://www.proteindistillery.com,B2B,"Ingredients and inputs,Meat,Eggs,Dairy",Biomass fermentation,"Ingredient optimization,Bioprocess design",Ingredients,,Yeast,Europe,Germany,,,Ostfildern,"Christoph Pitter, Michael Baunach, Dr.-Ing Tomas Kurz, and Marco Ries",,kontakt@proteindistillery.com,,
Pullulo,,"Pullulo has 2 technology platforms. Their proprietary fermentation & extraction technologies create super-potent extracts from agriculture side-streams. Their solutions are adaptable to different sources of biomass and can be customized accordingly to the needs of different industries.
",www.pullulo.com.sg,"B2C,B2B",Ingredients and inputs,"Precision fermentation,Plant-based",Ingredient optimization,,,"Palm,Coconut,Cauliflower,Eggplant",Asia Pacific,Singapore,,,Singapore,"Jonathan Cheng, Joanne Wood, and Lily Juang",,,,
Quazy Foods ,,"Quazy Foods unleashes the potential of microalgae as a super efficient, healthy, and sustainable source of functional ingredients for B2B distribution.",https://www.quazyfoods.com/,"B2C,B2B","Ingredients and inputs,Seafood","Biomass fermentation,Plant-based,Fermentation-derived","Bioprocess design,Ingredient optimization,Feedstocks,End product formulation and manufacturing",Whole muscle meat/seafood,Tuna,"Algae,Microalgae",Europe,Germany,,,Berlin,"Arvid Seeberg-Elverfeldt, Berenike Zimmer",,,,
Quorn,,"Produces f. venenatum mycoprotein-based meat substitutes. Products include chicken cutlets/patties/tenders/nuggets, turkey, burgers, and breakfast products.",http://www.quorn.us/,"B2C,B2B",Meat,Biomass fermentation,End product formulation and manufacturing,"Ground meat/seafood,Whole muscle meat/seafood,Other meat/seafood","Chicken,Beef/veal,Pork,Turkey,Other fish","Wheat,Rice,Mushrooms,Pea,Potato,Fungi,Mycoprotein",Europe,United Kingdom,,,Stokesley,Lord Rank,Monde Nissin and Marlow Foods,,Monde Nissin,
Real Deal Milk,,Spain-based company that produces milk and dairy products using precision fermentation ,https://www.realdealmilk.com,B2C,Dairy,Precision fermentation,End product formulation and manufacturing,"Milk,Other dairy",,"Yeast,Casein,Whey",Europe,Spain,,,Barcelona,Zoltan Toth-Czifra,,,,
